date,portfolioAction,portfolioConfidence,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2023-02-03,분할 매수,강한 녹색,1,1,45,51.8,0.6333,신규 매수,강한 녹색,1,56,0.7521,-0.75,1.1747,-0.2259,1.1747,1.1747,1.392,1.9202,7.2581
2023-02-06,분할 매수,약한 녹색,1,1,41,51.8,0.5807,신규 매수,강한 녹색,1,56,0.7005,-0.2259,0.6903,2.3301,0.6903,0.6903,1.1657,-0.4903,4.3083
2023-02-07,분할 매수,강한 녹색,1,1,46,51.8,0.6682,신규 매수,강한 녹색,1,61,0.8271,2.3301,0.7317,-0.5187,0.7317,0.7317,1.2781,-0.5847,2.3258
2023-02-08,분할 매수,약한 녹색,1,1,42,51.8,0.6085,신규 매수,강한 녹색,1,48,0.6755,-0.5187,0.1346,-0.3746,0.1346,0.1346,0.4492,-2.701,1.974
2023-02-09,분할 매수,약한 녹색,1,1,39,51.8,0.6305,신규 매수,약한 녹색,1,43,0.7161,-0.3746,-1.227,-0.8655,-1.227,-1.227,-0.8887,-3.0467,0.9614
2023-02-10,분할 매수,약한 녹색,1,1,39,51.8,0.5352,신규 매수,약한 녹색,1,43,0.599,-0.8655,0.8728,1.1313,0.8728,0.8728,1.3472,-2.2023,2.1897
2023-02-13,분할 매수,약한 녹색,1,1,44,51.8,0.7075,신규 매수,강한 녹색,1,48,0.8271,1.1313,0.7959,-0.124,0.7959,0.7959,0.3901,-3.2891,0.7249
2023-02-14,분할 매수,강한 녹색,1,1,46,51.8,0.6396,신규 매수,강한 녹색,1,57,0.7802,-0.124,-0.1099,1.7743,-0.1099,-0.1099,-2.1552,-5.0683,0.6972
2023-02-15,보유,녹색 대기,0.651,0.6,34,51.8,0.674,신규 매수,약한 녹색,1,44,0.8224,1.7743,-1.187,-1.0126,-1.187,-1.187,-2.583,-2.34,2.0245
2023-02-16,보유,녹색 대기,0.6435,0.6,29,51.8,0.5027,신규 매수,약한 녹색,1,29,0.563,-1.0126,1.0851,0.1258,1.0851,1.0851,1.6168,-0.6399,3.426
2023-02-17,보유,녹색 대기,0.651,0.6,34,51.8,0.5451,신규 매수,약한 녹색,1,39,0.599,0.1258,-0.0801,-0.884,-0.0801,-0.0801,-1.8751,-1.5283,3.7816
2023-02-20,보유,녹색 대기,0.645,0.6,30,51.8,0.3207,신규 매수,약한 녹색,1,34,0.349,-0.884,-1.7694,-1.6778,-1.7694,-1.7694,-1.3667,-1.4224,6.2496
2023-02-21,보유,녹색 대기,0.6435,0.6,29,51.8,0.229,홀딩,녹색 대기,0.6,23,0.2104,-1.6778,-0.5518,1.328,-0.5518,-0.5518,-0.0327,0.7875,9.2805
2023-02-22,보유,녹색 대기,0.6285,0.6,19,51.8,0.1802,홀딩,녹색 대기,0.6,19,0.1599,1.328,3.0026,-0.3268,3.0026,3.0026,0.4006,2.8005,12.2984
2023-02-23,보유,녹색 대기,0.6555,0.6,37,51.8,0.4052,신규 매수,약한 녹색,1,33,0.4094,-0.3268,-2.3508,-0.4356,-2.3508,-2.3508,-2.0152,0.4997,4.9353
2023-02-24,보유,녹색 대기,0.633,0.6,22,51.8,0.1976,홀딩,녹색 대기,0.6,17,0.1719,-0.4356,0.4375,0.5116,0.4375,0.4375,1.0887,2.4057,9.9364
2023-02-27,보유,녹색 대기,0.642,0.6,28,51.8,0.347,신규 매수,약한 녹색,1,29,0.3781,0.5116,-0.4556,-1.1327,-0.4556,-0.4556,-0.6619,4.3134,10.6221
